product_code,YEAR,num_complaints,num_recalls,recalls_next_year,recalls_next_2_year
LYZ,2015,1,0,1,0
EYB,2015,9,0,0,0
FZF,2015,1,0,0,
DXF,2015,21,0,1,0
FGO,2015,15,0,0,0
JIT,2015,6,1,3,3
LZA,2015,12,1,1,0
DPS,2015,29,1,0,0
JXL,2015,5,0,0,0
LZJ,2015,5,0,0,0
DTY,2015,3,0,,
GFE,2015,3,0,0,0
EKD,2015,1,0,0,0
DTX,2015,15,0,0,0
CBI,2015,7,4,1,0
NQX,2015,3,0,1,0
ECQ,2015,1,0,0,
MIJ,2015,2,0,1,0
GAI,2015,1,0,0,0
IMI,2015,1,0,0,0
LCD,2015,2,0,0,0
NOF,2015,3,0,0,0
JAQ,2015,7,2,0,0
OCE,2015,3,0,0,0
HGY,2015,9,2,0,0
MIU,2015,2,0,0,1
FRA,2015,1,0,0,0
PAM,2015,1,0,2,0
FKP,2015,1,0,0,0
HHK,2015,2,0,0,0
FEC,2015,2,0,0,0
FWX,2015,2,0,0,0
GCQ,2015,2,0,22,0
MTP,2015,1,0,0,0
ORQ,2015,1,0,0,0
JEX,2015,1,0,0,0
CFP,2015,1,0,0,1
OHT,2015,1,0,0,0
HXX,2015,876,0,2,0
FZP,2015,2850,0,11,1
LOM,2015,136,0,0,0
OUR,2015,116,0,0,0
CBK,2015,11676,13,19,5
FOZ,2015,720,3,5,98
NSA,2015,62,0,0,0
KHO,2015,29,5,3,6
JXG,2015,975,0,6,3
CDZ,2015,5,0,0,3
OLO,2015,460,7,7,14
HWX,2015,65,0,0,0
CGA,2015,154,8,3,0
NSU,2015,2,0,0,4
MAY,2015,115,0,15,0
DXQ,2015,21,0,0,0
HXZ,2015,22,0,0,0
FWZ,2015,69,2,0,1
HDB,2015,12,0,0,0
FCM,2015,5,0,0,0
KPA,2015,11,2,1,0
OKR,2015,7,0,0,0
KYX,2015,9,0,0,0
NTM,2015,2,0,0,0
MBV,2015,18,0,0,0
F T,2015,1,0,,
JSM,2015,1,0,0,0
LYA,2015,27,0,0,0
IMJ,2015,5,1,0,0
FDC,2015,12,0,0,0
ISH,2015,4,2,0,0
HDW,2015,1,1,0,0
MPA,2015,4,0,0,0
FZO,2015,14,1,0,0
EYT,2015,1,0,,
KLA,2015,1,0,0,0
PDU,2015,12,1,0,0
KOB,2015,1,0,0,0
CBF,2015,3,0,0,0
OCO,2015,1,0,0,0
KXJ,2015,2,0,8,0
FGM,2015,1,0,,
FJT,2015,1,0,,
FFH,2015,5,0,0,0
GFJ,2015,1,0,0,0
NSI,2015,1,0,0,0
JEC,2015,1,0,1,0
MVD,2015,1,0,0,
MIX,2015,1,1,0,0
NQO,2015,32,0,0,0
OZO,2015,28402,0,0,3
IOR,2015,4408,2,2,0
IKX,2015,38,1,0,3
HAW,2015,1740,12,13,5
KWS,2015,1154,3,3,6
OTO,2015,441,0,0,0
NVY,2015,8697,0,0,0
FCS,2015,5,0,0,1
JDC,2015,239,0,1,0
FAE,2015,95,1,0,0
FNM,2015,79,1,1,0
GAM,2015,927,1,1,10
NUJ,2015,25,0,1,0
KOC,2015,542,2,1,0
DTZ,2015,651,1,2,0
PAH,2015,270,1,0,0
HIH,2015,210,0,0,0
MQR,2015,71,0,0,0
MAV,2015,119,0,1,4
KZD,2015,31,0,0,1
CHP,2015,18,0,9,3
JES,2015,44,0,0,0
KGL,2015,2,0,,
DTN,2015,27,0,3,24
FHQ,2015,65,0,0,1
NRZ,2015,1,0,0,0
EBG,2015,26,0,0,0
CCK,2015,109,2,2,2
FEB,2015,91,2,2,0
MTF,2015,17,1,4,0
NHJ,2015,2,0,0,0
LFM,2015,6,0,0,0
FGA,2015,1,0,0,0
LTT,2015,10,7,0,0
KZL,2015,16,0,0,0
NEZ,2015,30,0,0,1
FGX,2015,4,0,0,0
NGV,2015,284,2,0,0
H H,2015,1,0,,
DZA,2015,9,0,0,1
MQC,2015,5,0,0,0
CDT,2015,6,1,9,1
GCL,2015,2,0,0,0
OBP,2015,3,0,0,1
PAB,2015,2,0,0,0
OSM,2015,3,0,0,0
MOM,2015,34,0,0,0
MHE,2015,4,0,0,0
OHH,2015,1,0,0,0
LHC,2015,13,9,1,0
FQM,2015,7,0,2,7
NWR,2015,2,2,2,0
CIJ,2015,1,0,,
KPN,2015,8,0,0,0
JLS,2015,1,3,0,5
MRC,2015,1,0,0,0
KEY,2015,1,0,0,0
MES,2015,1,0,0,0
MVU,2015,2,4,2,0
NFK,2015,1,0,0,0
FFE,2015,1,0,,
KRJ,2015,2,0,,
IPY,2015,2,0,0,
IZD,2015,1,0,0,0
NGX,2015,7,0,0,0
JAC,2015,1,0,0,1
JOD,2015,1,0,,
LKK,2015,8377,4,2,4
CAD,2015,40,0,1,1
FGE,2015,1529,3,0,3
LXB,2015,812,0,0,0
MEB,2015,2951,0,0,0
HTJ,2015,137,0,0,0
JAA,2015,2907,6,13,4
MAX,2015,518,2,13,3
GAG,2015,144,0,0,0
OTP,2015,672,0,0,0
GAD,2015,65,2,5,0
EMA,2015,82,0,0,0
EZQ,2015,160,0,0,0
NSP,2015,2,0,0,0
FPP,2015,119,0,3,0
MNH,2015,149,2,1,1
DRB,2015,65,0,0,0
EFB,2015,85,0,1,0
NMJ,2015,11,0,0,0
MRN,2015,153,1,1,0
NXC,2015,42,0,0,0
KNN,2015,3,0,0,0
BZR,2015,39,0,0,0
MSF,2015,1,0,0,
LFX,2015,15,0,2,0
LXG,2015,15,0,2,0
IRP,2015,3,0,0,0
KMJ,2015,4,0,2,0
PEA,2015,2,0,0,0
IMG,2015,4,0,0,0
MVR,2015,40,0,0,0
JDK,2015,7,0,0,0
FSD,2015,3,0,0,0
LZU,2015,1,0,0,0
ISS,2015,3,0,0,0
PFF,2015,1,0,0,3
KXT,2015,1,0,0,1
BWH,2015,3,0,0,0
HQZ,2015,3,0,0,0
ODG,2015,11,1,1,2
KHY,2015,1,0,0,0
MSW,2015,1,1,0,1
EWO,2015,1,0,0,0
FTN,2015,2,0,0,0
EKH,2015,1,0,0,1
FEQ,2015,1,1,0,0
CAX,2015,2,0,0,0
KYT,2015,1,0,0,0
LXH,2015,5901,13,27,29
KWP,2015,1338,2,6,0
IYE,2015,94,22,23,26
MCM,2015,3071,1,0,0
NVN,2015,10050,0,0,0
ETA,2015,5,0,0,0
MHX,2015,1262,13,15,16
MCX,2015,621,3,0,2
CHL,2015,55,8,8,5
GAQ,2015,17,0,0,0
MVK,2015,8254,0,0,1
HWA,2015,112,2,2,3
LWJ,2015,310,0,1,0
FMS,2015,171,0,0,0
JIL,2015,43,0,1,0
HSD,2015,567,1,0,3
DWC,2015,568,8,5,8
IMP,2015,17,0,0,0
KNQ,2015,202,0,0,0
ELC,2015,134,0,2,0
INE,2015,8,0,0,0
OAF,2015,9,0,0,1
JAF,2015,7,0,0,4
OGZ,2015,1,0,0,0
GFC,2015,3,0,0,0
MEQ,2015,2,0,0,
JDP,2015,96,0,0,0
NWB,2015,32,0,1,0
EZO,2015,1,0,0,0
DRX,2015,56,2,0,0
KGE,2015,11,0,0,0
LSL,2015,5,2,0,1
FYA,2015,59,11,2,1
OGO,2015,57,0,0,0
LPO,2015,10,0,0,0
JKP,2015,1,0,,
BYX,2015,16,0,0,0
LWK,2015,5,1,0,0
NVK,2015,4,0,0,
PJO,2015,4,0,0,0
HGP,2015,10,0,0,0
HHM,2015,6,0,1,0
KCP,2015,2,0,0,0
FZS,2015,2,0,0,0
GXC,2015,2,0,0,0
EKM,2015,8,0,1,0
KQM,2015,7,2,0,0
DTW,2015,11,0,0,0
EFS,2015,7,0,0,0
GKJ,2015,1,0,0,0
GJA,2015,1,0,1,0
MCY,2015,2,3,0,0
LDT,2015,2,1,3,0
IKD,2015,3,0,1,2
HFG,2015,2,0,0,0
HAX,2015,1,0,0,0
PDQ,2015,1,0,0,0
HRZ,2015,1,0,0,0
MQX,2015,1,0,0,0
ODA,2015,1,0,0,0
JIO,2015,1,0,0,0
DJR,2015,2,0,0,0
EIC,2015,3,0,0,0
CAO,2015,1,0,0,0
HHR,2015,2,0,,
OBW,2015,1,0,0,0
LWG,2015,1,0,0,0
JWH,2015,6818,19,58,82
JEY,2015,764,1,3,0
ERL,2015,2599,0,7,0
DYE,2015,1227,0,0,0
GEX,2015,2067,37,8,19
FSA,2015,1393,6,6,3
LOD,2015,518,0,1,6
LNR,2015,317,1,0,0
GXD,2015,66,0,1,0
EMJ,2015,44,0,0,0
GEA,2015,11,0,2,0
GWO,2015,18,2,0,0
DZS,2015,2,0,0,
LZN,2015,41,0,0,0
MFK,2015,694,0,0,0
DZL,2015,103,0,2,0
LPL,2015,158,1,0,13
FZW,2015,54,0,0,1
OMP,2015,369,1,3,1
HWT,2015,92,2,0,3
KXF,2015,6,0,0,0
IZL,2015,30,7,2,2
GXZ,2015,12,0,0,0
MMK,2015,13,0,0,0
LCP,2015,63,3,7,1
GBO,2015,47,0,0,5
KNC,2015,15,0,0,0
NIG,2015,29,0,2,1
DRE,2015,82,3,1,0
CEM,2015,7,1,1,0
GXP,2015,13,0,0,0
AED,2015,1,0,,
DPZ,2015,6,0,0,0
HTC,2015,30,0,0,0
OSR,2015,46,0,0,1
LBI,2015,5,2,4,1
DYJ,2015,2,0,0,0
LOE,2015,6,0,0,2
MTG,2015,9,0,0,0
GCB,2015,8,0,0,0
HSA,2015,10,0,0,0
OQI,2015,9,0,0,0
FSH,2015,3,0,0,5
MSQ,2015,4,0,0,0
DWZ,2015,1,0,0,0
PJQ,2015,6,1,0,0
MIR,2015,6,0,0,0
FNK,2015,17,0,0,
MQM,2015,1,0,0,2
FLK,2015,1,0,0,
NYV,2015,2,0,0,0
MMI,2015,823,2,1,1
GDW,2015,4833,15,2,5
MBL,2015,54,1,0,0
NHA,2015,854,93,36,2
JGJ,2015,24,1,1,0
LWP,2015,9376,0,2,21
MPW,2015,10,0,0,0
IKY,2015,72,0,0,0
ESW,2015,173,0,0,0
JYT,2015,2,0,0,0
GFA,2015,374,2,0,0
CAT,2015,106,0,0,1
KWT,2015,173,1,1,2
BTA,2015,14,0,1,0
FTM,2015,969,0,0,0
LZS,2015,1140,1,0,1
NQR,2015,21,0,0,0
JDB,2015,42,3,0,18
JCX,2015,117,4,2,2
DZN,2015,51,1,0,0
NVR,2015,1,0,0,0
GDG,2015,35,0,0,0
GBX,2015,57,0,0,11
LYY,2015,5,0,0,0
NHK,2015,32,0,0,0
EBF,2015,113,1,0,4
MTD,2015,34,1,2,2
GXN,2015,47,1,0,4
DTD,2015,41,0,0,0
DGC,2015,2,0,1,0
PEW,2015,6,0,0,0
HJB,2015,4,0,0,
NPL,2015,5,0,1,0
NZW,2015,5,0,0,0
GAO,2015,5,1,0,0
DOF,2015,1,0,2,3
LQM,2015,68,0,0,1
NCD,2015,6,0,1,0
LWL,2015,3,0,0,0
JHY,2015,2,0,0,0
NTH,2015,1,0,0,
JHW,2015,1,0,0,0
MXH,2015,3,0,0,
KYW,2015,1,0,1,0
BSK,2015,1,0,0,1
JXB,2015,11,0,0,1
NHG,2015,1,0,0,0
CBO,2015,1,0,,
NOT,2015,1,0,0,
MMD,2015,1,0,,
FON,2015,1,0,0,0
HWW,2015,2,0,0,0
KCW,2015,1,0,0,
JSK,2015,1,2,0,0
MSK,2015,1,0,,
GGP,2015,1,2,1,0
DSR,2015,1,0,0,0
MUZ,2015,100,0,0,1
JDI,2015,4864,3,28,6
KDJ,2015,6810,1,0,0
KWA,2015,12258,2,1,2
DSQ,2015,6665,7,3,5
NBH,2015,183,1,3,0
DXE,2015,260,17,2,1
OYS,2015,9,0,0,0
KYF,2015,205,0,1,0
LPM,2015,140,0,0,2
EZL,2015,300,0,27,0
HBL,2015,192,1,0,2
DRY,2015,231,2,1,0
CDP,2015,157,2,1,2
EZB,2015,52,0,0,0
UNK,2015,14,0,0,0
IOL,2015,12,2,0,0
LFJ,2015,26,1,0,0
FMJ,2015,84,0,0,0
ONW,2015,28,0,0,0
KQO,2015,237,1,1,2
EZY,2015,13,0,0,0
DZK,2015,7,0,0,0
FAS,2015,82,0,2,0
OWO,2015,6,0,0,0
CBQ,2015,1,0,0,0
INK,2015,4,0,1,0
KWD,2015,10,0,1,0
CGX,2015,13,0,2,0
OBA,2015,14,0,0,
JIX,2015,4,1,6,5
OCX,2015,9,2,0,0
JCB,2015,1,0,,
OSV,2015,2,0,0,0
FDG,2015,5,0,0,0
GYC,2015,9,0,0,0
JOJ,2015,7,0,0,0
FAG,2015,3,0,0,0
HQY,2015,4,0,0,0
LYR,2015,2,0,0,0
MZA,2015,12,0,0,0
FKK,2015,1,0,0,0
FFG,2015,96,0,0,0
PBI,2015,26,0,0,0
GKN,2015,3,0,0,0
HBO,2015,4,0,0,1
OWN,2015,1,0,0,0
OIG,2015,1,0,0,
FCK,2015,2,0,0,0
OSI,2015,124,0,0,0
GZF,2015,345,0,0,0
LOL,2015,28,0,0,0
FMI,2015,554,2,5,41
FSY,2015,173,254,0,144
DTB,2015,11026,1,0,0
KPI,2015,2,0,0,0
DRC,2015,50,0,1,0
NIO,2015,441,1,0,0
FRO,2015,289,5,4,2
NSC,2015,55,0,0,0
HQF,2015,80,0,2,0
CGZ,2015,2,0,0,0
LMD,2015,9,2,0,0
KFZ,2015,74,1,0,0
NGT,2015,13,16,1,0
FHN,2015,223,0,0,0
KPS,2015,24,46,64,29
LSZ,2015,195,0,0,0
FNG,2015,30,0,0,0
GNX,2015,3,0,0,0
GET,2015,43,0,3,0
GDH,2015,12,0,0,0
JQC,2015,128,0,1,2
OBT,2015,1,0,0,0
JPE,2015,1,0,0,0
LNX,2015,18,0,0,0
MOD,2015,3,0,0,0
EEF,2015,10,0,0,0
LIP,2015,2,0,0,0
WH,2015,1,0,,
FAJ,2015,28,2,2,1
MIA,2015,12,0,0,0
ELW,2015,18,0,3,0
OAT,2015,28,0,0,0
MLM,2015,1,1,0,1
HJM,2015,1,0,0,
NZP,2015,4,0,0,0
PDJ,2015,2,0,0,1
EMN,2015,1,0,0,0
OTE,2015,3,0,1,0
CJY,2015,4,0,1,0
NQW,2015,11,0,0,0
NNI,2015,2,0,0,0
GAF,2015,2,0,0,0
HIM,2015,1,0,0,0
GCZ,2015,3,0,0,0
LPQ,2015,1,0,,
CIT,2015,1,0,2,0
CAL,2015,4,0,1,0
DTA,2015,1,0,0,
JZG,2015,50,2,0,1
OVZ,2015,4,0,0,0
FPX,2015,1,0,0,0
JGQ,2015,1,0,0,0
BYN,2015,1,0,0,0
IOZ,2015,1,0,,
OCM,2015,1,0,0,0
MKJ,2015,15977,3,6,12
LTI,2015,549,0,2,1
FPO,2015,378,3,3,1
BTR,2015,1003,1,6,0
IPS,2015,22,0,0,0
JAK,2015,449,83,109,50
LMF,2015,94,0,0,0
NKE,2015,356,1,0,7
PAJ,2015,276,0,0,0
DXZ,2015,170,1,2,0
GAR,2015,86,0,2,0
GEY,2015,1983,1,12,3
MWI,2015,30,3,1,3
OUG,2015,13,1,6,1
LXT,2015,34,1,1,0
GXI,2015,23,0,1,1
KMW,2015,26,0,0,0
MJK,2015,6,0,0,0
FAD,2015,130,0,4,0
BZO,2015,55,3,0,0
CAF,2015,165,7,2,14
HDY,2015,3,0,0,0
LLI,2015,13,0,4,2
IMM,2015,9,0,0,
LGE,2015,2,0,0,0
HAE,2015,25,0,0,0
KNY,2015,12,0,0,0
EMF,2015,2,0,0,5
BYI,2015,4,0,0,1
NDC,2015,1,0,2,3
MVO,2015,1,0,,
MDV,2015,1,0,,
IXW,2015,2,0,1,0
MSB,2015,1,0,0,
OEI,2015,1,0,0,
PHL,2015,1,0,0,1
FRJ,2015,2,0,1,0
EBZ,2015,8,0,0,0
NOC,2015,2,0,0,0
HXD,2015,6,1,0,0
LDH,2015,1,1,0,
NFO,2015,1,0,0,0
LEJ,2015,4,0,1,2
DSH,2015,8,0,0,0
NUV,2015,2,0,0,0
BXB,2015,5,0,0,0
BSS,2015,4,0,0,0
GZX,2015,6,0,0,0
JSO,2015,28,9,0,2
NKG,2015,4,0,0,0
HHI,2015,4,0,1,0
FRW,2015,5,0,0,0
JWX,2015,4,0,0,0
JTQ,2015,4,0,0,9
PJF,2015,1,0,0,0
OTK,2015,3,0,0,0
FRL,2015,4,0,2,1
GCC,2015,1,0,0,0
KBD,2015,1,0,0,0
OWI,2015,1,0,0,1
OCC,2015,1,3,3,1
NXT,2015,360,3,0,0
JJE,2015,2765,41,21,29
LOX,2015,2040,0,0,5
KWZ,2015,628,5,0,0
FZX,2015,446,6,4,2
KXA,2015,1666,0,0,0
NDJ,2015,48,1,0,0
OBJ,2015,392,5,1,5
BTO,2015,170,1,1,0
JEA,2015,26,0,7,0
BSO,2015,43,0,0,2
DXX,2015,2,1,1,0
CCQ,2015,132,0,5,0
OOY,2015,63,0,0,0
LJS,2015,1298,8,45,15
KTW,2015,26,0,0,0
GBM,2015,20,0,0,0
GWG,2015,37,0,0,1
BSZ,2015,555,11,6,8
FZM,2015,58,0,0,0
LDF,2015,81,0,1,0
KKY,2015,18,0,1,1
MKN,2015,5,0,0,
HGB,2015,4,0,0,0
MFR,2015,71,0,0,0
DWS,2015,26,2,1,0
OBI,2015,2,0,0,0
HDA,2015,6,0,0,0
HTX,2015,38,0,0,6
DHX,2015,33,1,0,0
MNS,2015,50,0,0,0
FTY,2015,3,1,0,0
KOO,2015,79,0,0,0
NTO,2015,2,0,0,0
OAB,2015,11,0,0,0
HMX,2015,18,1,0,0
NPZ,2015,15,0,0,0
KLW,2015,4,0,,
LDJ,2015,1,0,,
CAE,2015,14,1,2,0
FSS,2015,10,0,0,0
FPL,2015,1,0,0,0
HIL,2015,3,0,0,0
MJC,2015,25,4,1,1
OAR,2015,8,0,0,4
CHI,2015,5,1,0,2
MRZ,2015,117,0,0,0
EFQ,2015,26,5,1,0
EBW,2015,13,0,0,1
PKL,2015,34,0,0,0
PIO,2015,119,0,0,0
LXS,2015,17,1,0,0
MDA,2015,2,0,0,0
ONA,2015,1,0,,
NFB,2015,4,0,0,0
GDR,2015,2,0,0,0
MOV,2015,2,0,0,0
CDW,2015,1,0,,
DWI,2015,3,0,0,0
NRU,2015,1,0,0,0
KLC,2015,1,0,0,
KDT,2015,1,0,0,0
DSJ,2015,2,0,0,0
KOI,2015,1,0,0,0
EIX,2015,1,0,0,
LLK,2015,6,0,0,0
HFW,2015,1,0,0,0
HTO,2015,651,4,9,8
HWC,2015,2666,19,39,13
KTZ,2015,2,0,0,0
ILJ,2015,71,0,0,0
KRO,2015,331,1,13,19
INX,2015,51,0,0,0
GJS,2015,1257,1,9,5
MPB,2015,51,0,0,4
FJK,2015,126,1,0,1
OOG,2015,30,3,0,0
FDI,2015,193,1,0,0
FDX,2015,61,0,0,0
GDO,2015,183,1,1,0
NTE,2015,145,0,0,0
IXR,2015,81,0,3,3
JHS,2015,3,0,0,0
LEG,2015,1,0,0,0
FLG,2015,17,0,0,0
DTL,2015,88,1,1,4
JTW,2015,2,0,0,0
HAB,2015,482,2,1,6
KGC,2015,72,1,0,0
MEG,2015,51,1,0,0
LNI,2015,1,0,0,4
GAT,2015,619,1,0,0
LDP,2015,1,1,1,1
MNO,2015,14,0,0,0
DQR,2015,40,0,0,0
BSY,2015,292,36,0,11
FCL,2015,50,0,1,0
MUQ,2015,56,0,0,1
INO,2015,22,0,0,0
FNJ,2015,9,0,0,0
MBP,2015,11,0,2,0
HQD,2015,5,0,0,0
LGZ,2015,34,1,2,0
ODE,2015,5,0,0,0
FHF,2015,14,0,0,0
MVN,2015,10,0,0,2
OGJ,2015,18,0,0,0
EIG,2015,2,0,0,0
NHS,2015,2,0,,
JQW,2015,6,0,2,2
EIY,2015,1,0,0,0
OYW,2015,3,0,0,0
GXR,2015,7,0,0,0
HJO,2015,7,2,1,0
NSD,2015,2,0,0,0
DKZ,2015,7,0,0,0
JYH,2015,2,0,0,
KOH,2015,1,0,0,0
FET,2015,3,2,1,0
MIB,2015,2,0,0,0
MVF,2015,2,0,0,0
PFJ,2015,3,1,0,0
BZN,2015,6,0,0,0
LII,2015,1,0,0,
IQA,2015,1,0,0,0
OQS,2015,1,0,0,0
PIM,2015,5,0,0,0
