product_code,YEAR,num_complaints,num_recalls,recalls_next_year,recalls_next_2_year
NBW,2015,60955,0,6,2
MQP,2015,258,0,0,1
MHY,2015,3053,1,3,6
NDN,2015,202,0,1,2
KRH,2015,145,0,0,0
DZE,2015,2841,60,26,15
ITJ,2015,1112,0,1,0
NJL,2015,1061,2,3,9
BRZ,2015,167,0,0,0
GAW,2015,418,0,1,0
NIP,2015,596,0,2,3
FFL,2015,79,0,0,0
IOQ,2015,28,0,0,0
OGE,2015,96,0,0,3
DTQ,2015,1172,3,2,2
NEY,2015,90,0,1,12
NQP,2015,38,0,0,0
HTN,2015,33,0,1,0
DWD,2015,38,0,0,0
HXC,2015,33,4,1,0
KWB,2015,30,0,0,0
JID,2015,39,0,0,0
MAL,2015,29,2,0,0
DTM,2015,34,0,0,0
MUM,2015,50,0,0,0
FAT,2015,3,0,0,0
HBT,2015,17,0,0,0
FZZ,2015,7,0,0,0
KDP,2015,13,0,0,0
HWN,2015,8,0,0,0
GKG,2015,3,0,0,0
MFJ,2015,11,0,0,0
NEG,2015,9,0,0,0
OQG,2015,52,0,0,0
KMK,2015,41,0,2,1
NQM,2015,3,0,0,0
FMR,2015,4,0,0,0
NGY,2015,16,3,0,0
HSH,2015,17,0,0,0
NKC,2015,9,0,0,1
LBM,2015,1,0,,
NON,2015,1,0,0,0
CEK,2015,3,0,0,0
ILK,2015,2,0,0,0
GYB,2015,3,0,0,0
OIR,2015,4,0,0,0
MWJ,2015,1,0,0,0
EJI,2015,3,1,0,0
PCB,2015,3,0,0,0
DYH,2015,2,0,0,0
EYC,2015,1,0,0,0
OHY,2015,1,0,0,0
NHY,2015,1,0,,
JTC,2015,1,0,2,0
FAR,2015,1,0,,
NOJ,2015,1,0,,
NRP,2015,2,0,1,1
JSC,2015,1,1,1,0
JDQ,2015,193,4,0,0
MBF,2015,48,1,0,1
DQX,2015,1297,4,8,25
MDS,2015,39383,1,6,0
MRU,2015,300,0,0,0
CBR,2015,1,0,0,0
GCI,2015,177,1,0,0
NCX,2015,32,0,0,0
BTT,2015,663,16,0,0
MBH,2015,952,14,20,10
HBE,2015,466,38,20,3
NIN,2015,69,0,0,0
DQO,2015,620,4,11,14
FYD,2015,21,10,0,0
OCL,2015,31,0,1,0
HET,2015,124,1,0,1
CAZ,2015,235,2,3,0
HWB,2015,78,0,0,0
BYJ,2015,31,0,0,0
HWM,2015,9,0,0,0
ISW,2015,9,2,0,0
FZY,2015,20,0,0,0
ELZ,2015,6,0,0,0
OTD,2015,71,0,0,1
LFD,2015,26,0,0,0
GDC,2015,100,1,1,0
PAO,2015,55,0,1,0
LZD,2015,145,0,0,0
KOL,2015,47,0,0,0
KGO,2015,10,0,2,1
GAA,2015,31,2,0,0
JAD,2015,4,0,0,1
ITW,2015,3,1,2,0
GKP,2015,23,0,0,0
KJJ,2015,3,0,0,0
ONB,2015,4,0,9,0
FLS,2015,12,0,0,0
KHE,2015,10,0,0,0
HHD,2015,6,0,0,0
EAX,2015,2,0,0,0
FIE,2015,23,0,0,0
NQQ,2015,3,0,0,0
PCD,2015,12,0,2,1
NUC,2015,8,0,0,0
FBQ,2015,1,0,0,0
GCD,2015,9,0,0,4
MSH,2015,3,0,0,0
MGR,2015,7,0,0,0
NLF,2015,2,0,0,0
OCJ,2015,1,0,0,0
HXK,2015,6,0,0,0
MKW,2015,2,0,0,1
HBI,2015,1,0,0,0
FSE,2015,2,0,0,0
FYF,2015,3,0,0,0
MCV,2015,2,0,0,0
JWY,2015,11,7,12,5
MJG,2015,1,0,0,0
LWE,2015,1,0,0,0
OLX,2015,1,0,,
HMF,2015,1,0,0,0
PPM,2015,1,0,2,5
JIN,2015,1,0,0,1
LIT,2015,1267,1,3,0
HIG,2015,10,0,0,0
ILS,2015,691,2,0,0
JEQ,2015,504,0,0,0
EQJ,2015,93,0,0,1
EFW,2015,48,1,0,0
GFF,2015,103,2,2,0
OAD,2015,273,5,0,0
INM,2015,15,0,0,1
DWM,2015,67,0,0,0
JLW,2015,202,1,3,2
DRF,2015,321,3,0,0
FFA,2015,78,0,0,0
MFE,2015,238,0,0,0
MAE,2015,24,0,0,0
HWR,2015,190,0,2,0
DSP,2015,401,3,11,7
FMF,2015,268,3,9,42
CAG,2015,41,0,0,0
GEN,2015,27,0,1,0
HNO,2015,947,1,0,0
MDI,2015,174,1,0,0
MEC,2015,82,1,0,1
DXG,2015,33,0,0,0
CAI,2015,31,0,0,0
NEU,2015,120,0,0,1
LNM,2015,58,0,0,0
GCT,2015,8,0,0,0
LRN,2015,24,0,0,0
NAC,2015,213,0,1,0
EJR,2015,10,0,0,0
MND,2015,75,0,0,0
NLQ,2015,92,0,0,0
OWQ,2015,6,0,0,0
LRK,2015,28,0,0,5
EYQ,2015,11,0,0,0
NRN,2015,4,0,0,0
NRV,2015,1,0,0,0
EPT,2015,14,0,0,1
DZM,2015,10,0,0,0
PAI,2015,10,0,0,0
KMY,2015,2,0,0,0
KIH,2015,6,2,0,0
KLT,2015,9,0,0,0
BYY,2015,2,0,0,0
ESD,2015,6,0,0,0
NWT,2015,1,0,0,
IWJ,2015,2,0,0,0
LCX,2015,2,0,0,0
MMH,2015,3,0,0,0
ISN,2015,19,0,0,0
KWR,2015,40,0,0,0
ODF,2015,1,0,0,0
OMX,2015,2,0,0,0
NYH,2015,1,0,,
MCZ,2015,1,1,1,2
KOT,2015,30,0,0,0
JYG,2015,1,0,0,1
OEV,2015,1,0,0,35
GZB,2015,7437,0,0,0
MAF,2015,651,0,0,1
GEI,2015,4868,14,40,20
MOQ,2015,761,3,1,0
LZY,2015,95,0,0,0
EIA,2015,451,0,1,0
DXY,2015,1019,0,0,4
ETN,2015,198,1,1,0
IPR,2015,12,0,0,0
GWM,2015,481,4,0,0
GAN,2015,75,0,0,0
JHR,2015,6,0,0,0
GFI,2015,12,0,0,0
OYE,2015,6,1,2,3
OCY,2015,273,0,0,0
NAB,2015,10,1,0,0
HXB,2015,33,0,0,0
OHR,2015,10,0,0,0
FRC,2015,175,0,1,0
PFB,2015,4,0,,
NFA,2015,41,0,0,0
EAZ,2015,13,0,1,0
KNF,2015,7,0,0,0
HKN,2015,3,0,1,1
FDP,2015,11,0,0,0
GES,2015,45,0,1,0
OCK,2015,1,0,0,
LRS,2015,6,0,17,1
JZO,2015,4,0,0,2
KST,2015,13,2,0,0
NBE,2015,10,0,3,0
LRY,2015,25,0,1,1
EXB,2015,6,0,0,0
GBL,2015,8,0,1,0
OVG,2015,21,0,0,0
MOF,2015,5,0,0,1
LOK,2015,2,0,0,0
MLY,2015,3,0,0,0
JIR,2015,4,0,0,0
PAA,2015,1,0,0,0
KMC,2015,1,0,0,0
FER,2015,2,0,0,0
EKC,2015,1,0,0,0
MVC,2015,4,0,0,0
LIH,2015,1,0,0,0
BZH,2015,1,0,,
PCA,2015,1,0,0,0
KSS,2015,1,0,0,0
FTJ,2015,1,0,0,0
OSN,2015,1,0,1,0
OYC,2015,103975,2,0,0
MIH,2015,4430,1,6,5
NIQ,2015,6041,0,0,0
DRM,2015,666,0,0,0
NBC,2015,42,1,1,2
DXT,2015,134,2,2,0
LZO,2015,1325,3,15,8
HQL,2015,4657,6,11,0
MCW,2015,371,0,4,6
DRG,2015,126,0,1,2
LRJ,2015,15,0,0,1
DIO,2015,7,0,1,1
KOD,2015,408,6,1,0
MJN,2015,89,1,2,1
HBF,2015,59,0,0,0
EOQ,2015,127,0,4,0
NDP,2015,103,7,2,10
NAA,2015,236,0,0,0
LJT,2015,146,3,0,6
FED,2015,35,0,0,0
NAJ,2015,16,0,0,0
